[ 2023-08-18 21:31:27,966 ] Using spritesheet cache size of 910
[ 2023-08-19 12:36:20,186 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "Connection refused" )
[ 2023-08-19 12:36:21,187 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:36:25,337 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "Connection refused" )
[ 2023-08-19 12:36:25,342 ] Disconnected from gameserver
[ 2023-08-19 12:36:26,522 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 12:36:26,536 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:36:27,460 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:36:28,577 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:36:28,586 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 12:36:28,590 ] Disconnected from gameserver
[ 2023-08-19 12:36:29,760 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 12:36:29,762 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:36:29,773 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:36:29,786 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 12:36:29,793 ] Disconnected from gameserver
[ 2023-08-19 12:36:30,712 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:36:34,248 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:36:34,799 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 12:36:34,801 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:36:34,813 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:36:34,836 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 12:36:34,844 ] Disconnected from gameserver
[ 2023-08-19 12:36:35,701 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:36:35,756 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:36:37,196 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 12:36:37,198 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:36:37,211 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 12:36:37,236 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 12:36:37,256 ] Disconnected from gameserver
[ 2023-08-19 12:36:37,781 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:36:38,148 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:36:45,170 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:36:45,759 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 12:36:45,762 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 12:36:45,776 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 12:36:46,712 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:38:15,337 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 12:38:15,420 ] Disconnected from gameserver
[ 2023-08-19 12:43:01,367 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:44:47,371 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:44:48,187 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 12:44:48,190 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 12:44:48,202 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 12:44:49,123 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 12:44:51,367 ] QWindowsWindow::setGeometry: Unable to set geometry 1920x1080+0+0 (frame: 1936x1119-8-31) on QQuickWindowQmlImpl_QML_10/"" on "\\.\DISPLAY4". Resulting geometry: 1920x1061+0+0 (frame: 1936x1100-8-31) margins: 8, 31, 8, 8 minimum size: 1020x650 MINMAXINFO maxSize=0,0 maxpos=0,0 mintrack=1036,689 maxtrack=0,0)
[ 2023-08-19 13:09:16,036 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 13:09:16,105 ] Disconnected from gameserver
[ 2023-08-19 13:09:16,161 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 13:41:28,231 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 13:41:29,454 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 13:41:29,458 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 13:41:30,398 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 13:41:33,537 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "Connection refused" )
[ 2023-08-19 13:41:34,586 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 13:41:38,686 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "Connection refused" )
[ 2023-08-19 13:41:38,691 ] Disconnected from gameserver
[ 2023-08-19 13:41:39,852 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 13:41:39,854 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 13:41:40,802 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 13:41:43,936 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "Connection refused" )
[ 2023-08-19 13:41:44,936 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 13:41:49,036 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "Connection refused" )
[ 2023-08-19 13:41:49,042 ] Disconnected from gameserver
[ 2023-08-19 13:41:50,226 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 13:41:50,227 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 13:41:51,161 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 13:41:54,336 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "Connection refused" )
[ 2023-08-19 13:41:55,337 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 13:41:59,438 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "Connection refused" )
[ 2023-08-19 13:41:59,443 ] Disconnected from gameserver
[ 2023-08-19 13:42:00,680 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 13:42:00,685 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 13:42:00,696 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 13:42:01,584 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 13:56:43,086 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 13:56:43,158 ] Disconnected from gameserver
[ 2023-08-19 13:59:19,816 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 13:59:21,003 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 13:59:21,007 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 13:59:21,020 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 13:59:21,943 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 13:59:42,558 ] Using spritesheet cache size of 910
[ 2023-08-19 13:59:44,632 ] Asset loading complete
[ 2023-08-19 13:59:52,491 ] News query failed: "Unrecognized event news."
[ 2023-08-19 13:59:53,809 ] BattlEye: "Initialized (v1.249)"
[ 2023-08-19 13:59:53,810 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-08-19 13:59:53,810 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-08-19 13:59:53,810 ] BattlEye: "Config entry: GameID tibia"
[ 2023-08-19 13:59:53,810 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-08-19 13:59:53,904 ] Request connection to gameserver  "tcp://26.142.23.44:7172"  (unprotected:  "tcp://26.142.23.44:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 13:59:53,912 ] Request connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 13:59:53,926 ] Connected to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 13:59:54,888 ] News query failed: "Unrecognized event news."
[ 2023-08-19 14:14:32,252 ] Retrying to obtain clipboard.
[ 2023-08-19 14:18:47,466 ] Retrying to obtain clipboard.
[ 2023-08-19 14:19:27,280 ] Retrying to obtain clipboard.
[ 2023-08-19 14:28:58,666 ] Connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 14:28:58,794 ] Disconnected from gameserver
[ 2023-08-19 14:28:59,190 ] News query failed: "Unrecognized event news."
[ 2023-08-19 14:34:23,568 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342239134 found"
[ 2023-08-19 14:42:24,436 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 14:42:24,602 ] Disconnected from gameserver
[ 2023-08-19 14:42:24,671 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 14:42:56,051 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 14:42:56,979 ] Request connection to gameserver  "tcp://26.142.23.44:7172"  (unprotected:  "tcp://26.142.23.44:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 14:42:56,984 ] Request connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 14:42:56,996 ] Connected to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 14:42:57,929 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 14:47:32,550 ] QTextCursor::setPosition: Position '59' out of range
[ 2023-08-19 14:48:35,588 ] Connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 14:48:35,654 ] Disconnected from gameserver
[ 2023-08-19 14:48:35,703 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 14:49:00,882 ] Using spritesheet cache size of 910
[ 2023-08-19 14:49:02,623 ] Asset loading complete
[ 2023-08-19 14:49:22,730 ] News query failed: "Unrecognized event news."
[ 2023-08-19 14:49:23,845 ] BattlEye: "Initialized (v1.249)"
[ 2023-08-19 14:49:23,845 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-08-19 14:49:23,845 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-08-19 14:49:23,845 ] BattlEye: "Config entry: GameID tibia"
[ 2023-08-19 14:49:23,845 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-08-19 14:49:23,916 ] Request connection to gameserver  "tcp://26.142.23.44:7172"  (unprotected:  "tcp://26.142.23.44:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 14:49:23,924 ] Request connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 14:49:23,935 ] Connected to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 14:49:24,908 ] News query failed: "Unrecognized event news."
[ 2023-08-19 14:50:01,780 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342239256 found"
[ 2023-08-19 14:52:35,919 ] "updateOrCreateCreatureFromProtobuf: no creature with id 268435467 found"
[ 2023-08-19 14:54:36,607 ] Connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 14:54:36,698 ] Disconnected from gameserver
[ 2023-08-19 14:54:37,033 ] News query failed: "Unrecognized event news."
[ 2023-08-19 14:54:48,129 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 14:54:49,275 ] Request connection to gameserver  "tcp://26.142.23.44:7172"  (unprotected:  "tcp://26.142.23.44:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 14:54:49,279 ] Request connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 14:54:49,290 ] Connected to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 14:54:50,227 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 14:54:53,509 ] Connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 14:54:53,576 ] Disconnected from gameserver
[ 2023-08-19 14:54:53,627 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 15:01:55,140 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 15:01:57,024 ] Request connection to gameserver  "tcp://26.142.23.44:7172"  (unprotected:  "tcp://26.142.23.44:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 15:01:57,028 ] Request connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 15:01:57,040 ] Connected to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 15:01:57,976 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 15:02:43,616 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342239161 found"
[ 2023-08-19 15:03:00,096 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342239081 found"
[ 2023-08-19 15:06:23,037 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342238943 found"
[ 2023-08-19 15:11:23,012 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 15:13:36,497 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342238893 found"
[ 2023-08-19 15:13:38,810 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342238983 found"
[ 2023-08-19 15:28:00,944 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342193708 found"
[ 2023-08-19 15:28:32,440 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342193527 found"
[ 2023-08-19 15:30:27,049 ] Using spritesheet cache size of 910
[ 2023-08-19 15:30:29,158 ] Asset loading complete
[ 2023-08-19 15:31:40,125 ] News query failed: "Unrecognized event news."
[ 2023-08-19 15:31:41,144 ] BattlEye: "Initialized (v1.249)"
[ 2023-08-19 15:31:41,144 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-08-19 15:31:41,144 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-08-19 15:31:41,144 ] BattlEye: "Config entry: GameID tibia"
[ 2023-08-19 15:31:41,144 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-08-19 15:31:41,222 ] Request connection to gameserver  "tcp://26.142.23.44:7172"  (unprotected:  "tcp://26.142.23.44:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 15:31:41,233 ] Request connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 15:31:41,245 ] Connected to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"
[ 2023-08-19 15:31:42,206 ] News query failed: "Unrecognized event news."
[ 2023-08-19 15:31:53,679 ] "updateOrCreateCreatureFromProtobuf: no creature with id 268435468 found"
[ 2023-08-19 15:39:35,506 ] Connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 15:39:35,696 ] Disconnected from gameserver
[ 2023-08-19 15:39:55,591 ] Connection to gameserver  "tcp://26.142.23.44:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 15:39:55,783 ] Disconnected from gameserver
[ 2023-08-19 15:40:04,856 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 16:31:14,189 ] Retrying to obtain clipboard.
[ 2023-08-19 17:27:24,486 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 17:27:26,329 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 17:27:26,338 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 17:27:27,208 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 17:27:30,456 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "Connection refused" )
[ 2023-08-19 17:27:31,456 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 17:27:35,555 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "Connection refused" )
[ 2023-08-19 17:27:35,563 ] Disconnected from gameserver
[ 2023-08-19 17:27:36,749 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 17:27:36,752 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 17:27:37,693 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 17:27:39,318 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 17:44:41,056 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 17:44:41,146 ] Disconnected from gameserver
[ 2023-08-19 17:45:16,224 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 17:45:28,809 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 17:45:30,539 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Lady Broken" )
[ 2023-08-19 17:45:30,545 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 17:45:30,556 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 17:45:31,446 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 18:23:21,507 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 18:23:21,586 ] Disconnected from gameserver
[ 2023-08-19 18:35:45,997 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 18:35:51,437 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 18:35:53,222 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Testerman" )
[ 2023-08-19 18:35:53,226 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 18:35:53,238 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 18:35:54,135 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 18:36:07,356 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 18:36:07,426 ] Disconnected from gameserver
[ 2023-08-19 18:36:07,478 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 18:36:45,136 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 18:36:46,797 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Testerman" )
[ 2023-08-19 18:36:46,798 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 18:36:47,740 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 18:36:50,905 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "Connection refused" )
[ 2023-08-19 18:36:51,906 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 18:36:56,015 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 18:46:17,164 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 18:46:18,505 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 18:46:18,601 ] Disconnected from gameserver
[ 2023-08-19 18:46:18,782 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 18:46:18,787 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 18:46:18,797 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 18:46:19,725 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 19:09:12,155 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 19:09:12,227 ] Disconnected from gameserver
[ 2023-08-19 19:09:12,281 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 19:09:14,258 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 19:09:14,261 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 19:09:14,273 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 19:09:15,208 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 19:09:17,207 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-19 19:09:17,279 ] Disconnected from gameserver
[ 2023-08-19 19:27:33,126 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 19:27:34,069 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 19:27:34,072 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 19:27:34,073 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Serverzin Floricapao"
[ 2023-08-19 19:27:35,009 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
